Mitte;385.748
Friedrichshain-Kreuzberg;290.386
Pankow;409.335
Charlottenburg-Wilmersdorf;343.592
Spandau;245.197
Steglitz-Zehlendorf;310.071
Tempelhof-Schöneberg;350.984
Neukölln;329.917
Treptow-Köpenick;273.689
Marzahn-Hellersdorf;269.967
Lichtenberg;294.201
Reinickendorf;266.408
