lat,lon,wheelchair
52.408195,13.3798708,unknown
52.4047054,13.3847762,yes
52.4092321,13.3753097,unknown
52.4091832,13.3769157,unknown
52.4067192,13.3794001,unknown
52.4064557,13.3794495,unknown
52.4071078,13.3545973,unknown
52.4116865,13.361376,yes
52.4040903,13.3827848,unknown
52.4016581,13.3826899,unknown
52.4093176,13.3810307,yes
52.3840371,13.3883241,no
52.397171,13.3853584,unknown
52.3943259,13.386178,unknown
52.3907294,13.3857701,unknown
52.3888816,13.3859457,unknown
52.3886115,13.3886323,unknown
52.3888993,13.3941064,unknown
52.3885874,13.3944553,unknown
52.3867306,13.3956824,yes
52.3843832,13.3964155,unknown
52.3916638,13.3927855,unknown
52.394226,13.3914074,unknown
52.3930975,13.3036537,unknown
52.3931374,13.3034977,unknown
52.3840268,13.3478685,unknown
52.395628,13.406053,unknown
52.3968526,13.4043701,unknown
52.3955047,13.4060513,unknown
52.3947523,13.4001698,yes
52.3936957,13.4044944,yes
52.393865,13.4057479,limited
52.3937027,13.4075102,yes
52.3915145,13.4001833,unknown
52.3884925,13.4030121,unknown
52.3858968,13.4041047,limited
52.3864845,13.4036823,no
52.3865001,13.4028829,yes
52.3865106,13.4016296,limited
52.3866263,13.4029361,yes
52.3867304,13.4035017,yes
52.3872191,13.400988,yes
52.3820202,13.4034287,unknown
52.3820069,13.4073698,unknown
52.38737,13.401274,yes
52.3825137,13.4132162,unknown
52.3832192,13.4130734,unknown
52.3865239,13.4020579,limited
52.3940181,13.4124095,yes
52.390511,13.4122904,unknown
52.4054134,13.5102653,unknown
52.3842704,13.5127995,unknown
52.388499,13.5186395,yes
52.388612,13.5191238,yes
52.388615,13.5205772,yes
52.3886604,13.5210371,yes
52.3884531,13.5184517,yes
52.409364,13.4772182,unknown
52.4094108,13.4768033,yes
52.3885353,13.5205225,yes
52.389643,13.5198839,unknown
52.3882187,13.5069077,yes
52.3888958,13.503402,limited
52.4096834,13.4775869,unknown
52.4067205,13.508233,unknown
52.4046637,13.5102294,unknown
52.4280707,13.3247457,no
52.429272,13.3228567,no
52.4297216,13.3201326,yes
52.4311551,13.3372031,limited
52.4294636,13.3302464,yes
52.428808,13.3761843,unknown
52.4298268,13.2599195,yes
52.427003,13.2180894,limited
52.4283604,13.2180223,unknown
52.4280515,13.218093,unknown
52.4273784,13.2152075,yes
52.4274308,13.2139085,unknown
52.4244756,13.2059891,unknown
52.4278951,13.3284544,limited
52.4296481,13.2281613,unknown
52.4293437,13.3746448,unknown
52.4314133,13.4074041,unknown
52.4311286,13.1925896,limited
52.4308071,13.1939804,limited
52.4307302,13.1945447,limited
52.4290924,13.3290394,yes
52.4308086,13.2063957,unknown
52.4278573,13.4053883,yes
52.4308724,13.3989264,unknown
52.4313172,13.2296743,unknown
52.3777198,13.3123815,yes
52.3747275,13.2628043,unknown
52.375011,13.2286511,unknown
52.3847227,13.2207945,unknown
52.3820323,13.2808109,unknown
52.3771572,13.215633,unknown
52.3747113,13.2196836,unknown
52.3820795,13.2114677,unknown
52.3815062,13.2107225,unknown
52.3816147,13.2114988,limited
52.3834445,13.314673,no
52.383717,13.2422932,unknown
52.3839182,13.2420763,unknown
52.3789005,13.208243,unknown
52.3815123,13.1991175,limited
52.3784818,13.1904244,unknown
52.4038698,13.2505498,yes
52.40568,13.2342532,unknown
52.4049053,13.18888,unknown
52.4139358,13.1283071,unknown
52.4142917,13.1318223,unknown
52.4137561,13.1295575,unknown
52.4135737,13.1252768,unknown
52.4170501,13.2259012,no
52.4018224,13.2597328,unknown
52.4016162,13.2598005,unknown
52.4101634793016,13.2019671964241,unknown
52.4173817,13.2262508,yes
52.3954315,13.3990807,unknown
52.3957582,13.3986585,unknown
52.3821629,13.3984229,unknown
52.3730385,13.3946835,unknown
52.3865252,13.3984926,yes
52.3854787,13.3994422,no
52.3867356,13.3978464,unknown
52.3718215,13.3965095,unknown
52.3765712,13.3966855,yes
52.3934969,13.3978782,unknown
52.3932556,13.3980626,unknown
52.385596,13.3985616,limited
52.3998128,13.5552422,no
52.4029635,13.5856652,yes
52.4021478,13.5638086,yes
52.3934584,13.5726195,yes
52.3898738,13.6507094,unknown
52.4015333,13.5704821,yes
52.3992998,13.5419036,yes
52.3996606,13.5563998,unknown
52.3949839,13.5339434,unknown
52.3938845,13.5728226,no
52.3961968,13.5834343,unknown
52.4010732,13.5617695,limited
52.399254,13.568838,unknown
52.4011497,13.5759653,unknown
52.4004548,13.5582099,unknown
52.4050209,13.5685776,no
52.4001047,13.5726254,yes
52.3712135,13.6128519,unknown
52.3721846,13.6157504,no
52.3727187,13.6160799,unknown
52.372663,13.6159011,no
52.3742928,13.654813,unknown
52.3729524,13.6168053,yes
52.3730675,13.6022431,unknown
52.373404,13.6194711,unknown
52.3740714,13.6530925,unknown
52.3725075,13.615378,yes
52.3723339,13.6150163,yes
52.3720261,13.6153938,yes
52.3726982,13.6172095,yes
52.3728348,13.6173329,unknown
52.3726982,13.6179047,unknown
52.3731498,13.6181993,no
52.3734126,13.6191221,unknown
52.3736864,13.6198958,limited
52.3742167,13.6203809,limited
52.3717246,13.6305819,unknown
52.4097864,13.5713718,unknown
52.4169977,13.5885444,unknown
52.4148361,13.551885,unknown
52.4189031,13.5905613,unknown
52.4277956,13.5812196,yes
52.42341,13.576801,unknown
52.4123211,13.6095915,yes
52.4123748,13.5717456,yes
52.4136389,13.5741847,unknown
52.4132655,13.571992,unknown
52.4182421,13.6895978,no
52.416945,13.6251952,no
52.40105,13.6248473,unknown
52.431252,13.7085775,unknown
52.428029,13.682902,unknown
52.4188218,13.6731057,unknown
52.4288684,13.6823962,no
52.4192605,13.7216644,yes
52.4224599,13.6289789,unknown
52.4111747,13.623387,yes
52.409942,13.6664224,unknown
52.4182628,13.4158833,unknown
52.4222133,13.4556266,unknown
52.4194857,13.421215,unknown
52.4243829,13.4407289,unknown
52.424411,13.4399502,unknown
52.421923,13.4317086,unknown
52.421812,13.4317034,unknown
52.4232579,13.435403,unknown
52.4272883,13.447196,unknown
52.4292188,13.4565581,limited
52.4294761,13.4548564,yes
52.4175353,13.4433712,unknown
52.4177123,13.4492742,unknown
52.4176199,13.4482293,unknown
52.4175738,13.4390912,unknown
52.4174757,13.4396527,unknown
52.4188991,13.4381418,unknown
52.4196149,13.438321,unknown
52.4311702,13.4568496,limited
52.4307195,13.4558185,yes
52.4270684,13.4487264,limited
52.4269943,13.4487837,limited
52.4200596,13.4562187,unknown
52.4214287,13.4152107,yes
52.3884332,13.1901035,unknown
52.3920908,13.2226209,no
52.3907135,13.1173849,yes
52.3897828,13.2198607,unknown
52.3906611,13.2194532,unknown
52.3936573,13.1290243,no
52.3932775,13.1311793,yes
52.3953987,13.2084161,unknown
52.391679,13.2212791,unknown
52.4172235,13.4294407,unknown
52.3858494,13.4183017,yes
52.4163249,13.448619,unknown
52.4128625,13.447064,unknown
52.4128007,13.4471137,unknown
52.4120258,13.4432338,unknown
52.4105431,13.4400245,yes
52.4133986,13.4215367,yes
52.4144675,13.4215254,yes
52.415361,13.420582,unknown
52.5047405,13.1805626,yes
52.5031255,13.179669,unknown
52.4990938,13.3862714,yes
52.5048831,13.3848607,no
52.4593525,13.3814447,unknown
52.4171969,13.3929705,yes
52.4232633,13.3823254,unknown
52.4140207,13.363574,unknown
52.4706937,13.3693019,limited
52.5047,13.3636178,unknown
52.5047492,13.3806625,no
52.493203,13.5362893,unknown
52.4746243,13.559314,unknown
52.4653326,13.5783815,yes
52.4706023,13.5728021,yes
52.5027885,13.5866091,unknown
52.5029273,13.5851714,unknown
52.4860873,13.430636,yes
52.4869266,13.422835,no
52.4866658,13.4228143,no
52.4861094,13.4251678,no
52.4859704,13.4249102,no
52.4899914,13.4101466,limited
52.4838008,13.4225619,yes
52.4813044,13.424661,yes
52.4870749,13.4249122,limited
52.4869924,13.4251445,limited
52.4809628,13.4250166,no
52.4818911,13.4094039,unknown
52.4822045,13.4086521,unknown
52.4845556,13.4440401,unknown
52.4809012,13.4358963,unknown
52.480131,13.4361205,yes
52.476861,13.4212617,limited
52.4819616,13.4327729,yes
52.4819661,13.4316965,yes
52.4818178,13.431413,yes
52.4773102,13.4229686,limited
52.4770369,13.4230397,yes
52.4998761,13.3021579,unknown
52.4650127,13.3441689,limited
52.4862003,13.3209362,limited
52.4803608,13.3390601,no
52.4789492,13.3449314,limited
52.4673215,13.3217196,no
52.4757469,13.314478,unknown
52.4788235,13.3125732,no
52.5046643,13.2984615,unknown
52.5030421,13.3155256,no
52.5021387,13.3036273,unknown
52.5044792,13.327536,no
52.5018681,13.3105132,limited
52.5021364,13.3048844,limited
52.5018008,13.3008448,limited
52.5036013,13.3015425,limited
52.5045796,13.3369933,yes
52.5027369,13.3250412,limited
52.5032192,13.3277308,yes
52.5046782,13.4490212,limited
52.5044706,13.5111798,yes
52.5048731,13.4953144,unknown
52.5035757,13.494364,unknown
52.5045582,13.4489112,yes
52.504715,13.4954428,yes
52.5038456,13.5813623,unknown
52.5045803,13.5907698,unknown
52.5047637,13.5293754,no
52.5047761,13.4676942,no
52.5025517,13.3363236,unknown
52.5043765,13.3302344,unknown
52.5021048,13.3306814,yes
52.502113,13.3305701,yes
52.5027462,13.3440431,yes
52.5016134,13.3346239,unknown
52.5020605,13.3379561,unknown
52.5024159,13.3325662,unknown
52.5029256,13.3321919,unknown
52.503738,13.3373127,yes
52.5036028,13.3440942,limited
52.5024723,13.3427061,yes
52.5022791,13.3425297,yes
52.503369,13.3308354,no
52.5037422,13.3319567,no
52.5037893,13.3304749,no
52.5038649,13.3308352,no
52.5041299,13.295272,no
52.5035276,13.3136022,unknown
52.5030433,13.3132741,unknown
52.5021357,13.4469973,yes
52.5008645,13.4415862,no
52.5021951,13.4570983,unknown
52.5019256,13.4579136,unknown
52.5013997,13.4312315,yes
52.500908,13.459239,limited
52.5025273,13.5962704,unknown
52.5023673,13.5970804,unknown
52.5019625,13.4185606,unknown
52.5021039,13.4564126,limited
52.5026662,13.4680457,unknown
52.5019471,13.4249879,limited
52.5026914,13.4222961,no
52.502178,13.4290863,yes
52.5026606,13.4392203,no
52.5019709,13.4256404,yes
52.5031924,13.3883155,yes
